原产地及基础参数,,,,,,,修格里城,,,,铁盟哨站,,,,七号自由港,,,,澄明数据中心,,,,阿妮塔战备工厂,,,,阿妮塔能源研究所,,,,荒原站,,,,曼德矿场,,,,淘金乐园,,,
产地,商品,基础货量,基准价格,类型,解锁条件,成本,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值,里程(km),基准价格,净差值,里程加值
,年货大礼包,None,3064,制造,七号港声望5级,393,259,2688,-376,-1.45 ,324,2848,-216,-0.67 ,,,,,202,2956.7,-107.3,-0.53 ,116,3064,0,0.00 ,162,3279,215,1.33 ,399,2957,-107,-0.27 ,417,2956,-108,-0.26 ,514 ,3064 ,0 ,0.00 
澄明数据中心,游戏机,10,3200,特产,澄明数据中心投资50W,时价,112,3424,224,2.00 ,177,3424,224,1.27 ,202,3552,352 ,1.74 ,,,,,135,,,,290,,,,252,4159,959,3.81 ,270,3648,448,1.66 ,367 ,3776 ,576 ,1.57 
,银矿石,10,2500,特产,澄明数据中心投资30W,时价,112,2650,150,1.34 ,177,2650,150,0.85 ,202,2725,225 ,1.11 ,,,,,135,,,,290,2875 ,375 ,1.29 ,252,2725,225,0.89 ,270,2725,225,0.83 ,367 ,2800 ,300 ,0.82 
,游戏卡带,30,648,特产,澄明数据中心投资10W,时价,112,732.3,84.3,0.75 ,177,731,83,0.47 ,202,796,148 ,0.73 ,,,,,135,805,157,1.16 ,290,881,233,0.80 ,252,816,168,0.67 ,270,815,167,0.62 ,367 ,881 ,233 ,0.63 
,扬声器,20,960,特产,无条件,时价,112,1037,77,0.69 ,177,1037,77,0.44 ,202,1056,96 ,0.48 ,,,,,135,1007,47,0.35 ,290,1103,143,0.49 ,252,1055,95,0.38 ,270,1085,125,0.46 ,367 ,1133 ,173 ,0.47 
,录像带,30,512,普通,无条件,时价,112,543,31,0.28 ,177,543,31,0.18 ,202,543,31 ,0.15 ,,,,,135,527,15,0.11 ,290,558,46,0.16 ,252,542,30,0.12 ,270,542,30,0.11 ,367 ,558 ,46 ,0.13 
,荧光棒,35,416,普通,无条件,时价,112,448.6,32.6,0.29 ,177,449,33,0.19 ,202,470,54 ,0.27 ,,,,,135,437,21,0.16 ,290,478,62,0.21 ,252,458,42,0.17 ,270,469,53,0.20 ,367 ,477 ,61 ,0.17 
,火车玩具,40,320,普通,无条件,时价,112,336,16,0.14 ,177,336,16,0.09 ,202,361,41 ,0.20 ,,,,,135,336,16,0.12 ,290,368,48,0.17 ,252,352,32,0.13 ,270,362,42,0.16 ,367 ,378 ,58 ,0.16 
,录音带,50,256,普通,无条件,时价,112,359,103,0.92 ,177,271,15,0.08 ,202,271,15 ,0.07 ,,,,,135,264,8,0.06 ,290,279,23,0.08 ,252,271,15,0.06 ,270,271,15,0.06 ,367 ,279 ,23 ,0.06 
阿妮塔战备工厂(lv40),火澄石,2,7000,特产,澄明数据中心投资180W,时价,192,7560,560,2.92 ,257,7770,770,3.00 ,116,7384 ,384 ,3.31 ,135,7385,385,2.85 ,,,,,155,,-7000,-45.16 ,332,7735,735,2.21 ,350,7735,735,2.10 ,447 ,7419 ,419 ,0.94 
,负片炮弹,4,4200,特产,澄明数据中心投资70W,时价,192,,-4200,-21.88 ,257,,-4200,-16.34 ,116,4431 ,231 ,1.99 ,135,,,,,,,,155,4430,230,1.48 ,332,4641,441,1.33 ,350,4641,441,1.26 ,447 ,4326 ,126 ,0.28 
,阿妮塔202军用无人机,7,3500,特产,无条件,时价,192,3814,314,1.64 ,257,3920,420,1.63 ,116,3710,210 ,1.81 ,135,3710,210,1.56 ,,,,,155,3710,210,1.35 ,332,3919,419,1.26 ,350,3920,420,1.20 ,447 ,3605 ,105 ,0.23 
,抗污染防护服,11,2800,特产,澄明数据中心投资40W,时价,192,3108,308,1.60 ,257,3191,391,1.52 ,116,2996,196 ,1.69 ,135,3080,280,2.07 ,,,,,155,2995,195,1.26 ,332,3304,504,1.52 ,350,3219,419,1.20 ,447 ,2967 ,167 ,0.37 
,钛合金,11,2671,特产,无条件,时价,192,2796,125,0.65 ,257,2872,201,0.78 ,116,2772,101 ,0.87 ,135,2695,24,0.18 ,,,,,155,2772,101,0.65 ,332,2898,227,0.68 ,350,2897,226,0.65 ,447 ,2596 ,-75 ,-0.17 
,碳纤维,18,1400,特产,无条件,时价,192,1553,153,0.80 ,257,1596,196,0.76 ,116,1498,98 ,0.84 ,135,1498,98,0.73 ,,,,,155,1540,140,0.90 ,332,1610,210,0.63 ,350,1610,210,0.60 ,447 ,1441 ,41 ,0.09 
,形态共振瞄准器,18,1050,普通,无条件,时价,192,1155,105,0.55 ,257,1187,137,0.53 ,116,1103,53 ,0.46 ,135,1103,53,0.39 ,,,,,155,1103,53,0.34 ,332,1239,189,0.57 ,350,1208,158,0.45 ,447 ,1082 ,32 ,0.07 
,高导磁硅钢片,29,839,普通,无条件,时价,192,949,110,0.57 ,257,948,109,0.42 ,116,906,67 ,0.58 ,135,907,68,0.50 ,,,,,155,907,68,0.44 ,332,966,127,0.38 ,350,1016,177,0.51 ,447 ,865 ,26 ,0.06 
,黄铜线圈,47,700,普通,无条件,时价,192,791,91,0.47 ,257,770,70,0.27 ,116,756,56 ,0.48 ,135,756,56,0.41 ,,,,,155,755,55,0.35 ,332,804,104,0.31 ,350,805,105,0.30 ,447 ,700 ,0 ,0.00 
阿妮塔能源研究所,阿妮塔小型桦树发电机,1,6888,特产,7号自由港投资280W,时价,346,7852,964,2.79 ,411,7990,1102,2.68 ,162,7438,550 ,3.40 ,290,7715,827,2.85 ,155,,,,,,,,486,7990,1102,2.27 ,505,8128,1240,2.46 ,513 ,8266 ,1378 ,2.69 
,石墨烯电池,8,3840,特产,7号自由港投资210W,时价,346,4530,690,1.99 ,411,4646,806,1.96 ,162,4069,229 ,1.41 ,290,,-3840,-13.24 ,155,,,,,,,,486,4531,691,1.42 ,505,4762,922,1.83 ,513 ,4877 ,1037 ,2.02 
,阿妮塔101民用无人机,14,1535,特产,七号自由港投资50W,时价,346,1935,400,1.16 ,411,2012,477,1.16 ,162,1659,124 ,0.77 ,290,1858,323,1.11 ,155,1659,124,0.80 ,,,,,486,1966,431,0.89 ,505,2088,553,1.10 ,513 ,2165 ,630 ,1.23 
,家用太阳能电池组,21,1152,特产,七号自由港投资30W,时价,346,1452,300,0.87 ,411,1509,357,0.87 ,162,1244,92 ,0.57 ,290,1394,242,0.83 ,155,1243,91,0.59 ,,,,,486,1475,323,0.66 ,505,1531,379,0.75 ,513 ,1590 ,438 ,0.85 
,锂电池,28,767,普通,无条件,时价,346,890,123,0.36 ,411,944,177,0.43 ,162,822,55 ,0.34 ,290,905,138,0.48 ,155,799,32,0.21 ,,,,,486,921,154,0.32 ,505,951,184,0.36 ,513 ,1006 ,239 ,0.47 
,充电电池,42,288,普通,无条件,时价,346,333,45,0.13 ,411,354,66,0.16 ,162,307,19 ,0.12 ,290,340,52,0.18 ,155,300,12,0.08 ,,,,,486,346,58,0.12 ,505,356,68,0.13 ,513 ,377 ,89 ,0.17 
荒原站,孔雀石,31,1337,特产,修格里城投资50W,时价,140,1782,445,3.18 ,75,1700,363,4.84 ,399,2079 ,742 ,1.86 ,252,1865 ,527.5 ,2.09 ,332,,-1337,-4.03 ,486,2112 ,774.7647059,1.59 ,,,,,109,1782,445,4.08 ,206 ,1865 ,528 ,2.56 
,琥珀,23,2240,特产,修格里城投资130W,时价,140,2419,179,1.28 ,75,2307,67,0.89 ,399,2822 ,582 ,1.46 ,252,2598 ,357.9 ,1.42 ,332,,-2240,-6.75 ,486,2867 ,626.6666667,1.29 ,,,,,109,2419,179,1.64 ,206 ,2598 ,358 ,1.74 
,绿松石,19,1144,特产,修格里城投资50W,时价,140,1247,103,0.74 ,75,1178,34,0.45 ,399,1487,343 ,0.86 ,252,1316,172,0.68 ,332,1384,240,0.72 ,486,1521,377,0.78 ,,,,,109,1246,102,0.94 ,206 ,1316 ,172 ,0.83 
,铅矿石,29,677,普通,无条件,时价,140,719,42,0.30 ,75,698,21,0.28 ,399,779,102 ,0.26 ,252,738,61,0.24 ,332,759,82,0.25 ,486,819,142,0.29 ,,,,,109,697,20,0.18 ,206 ,738 ,61 ,0.30 
,石墨,39,384,普通,无条件,时价,140,407,23,0.16 ,75,396,12,0.16 ,399,452,68 ,0.17 ,252,419,35,0.14 ,332,430,46,0.14 ,486,465,81,0.17 ,,,,,109,395,11,0.10 ,206 ,418 ,34 ,0.17 
,土豆,53,61,普通,无条件,时价,140,66,5,0.04 ,75,63,2,0.03 ,399,82,21 ,0.05 ,252,72,11,0.04 ,332,76,15,0.05 ,486,87,26,0.05 ,,,,,109,66,5,0.05 ,206 ,70 ,9 ,0.04 
曼德矿场,图形加速卡,17,3071,特产,曼德矿场投资210W,时价,159,3409,338,2.13 ,94,3256,185,1.97 ,417,3871,800 ,1.92 ,270,3564,493,1.83 ,350,,-3071,-8.77 ,505,4085,1014,2.01 ,109,3318,247,2.27 ,,,,,97 ,3650 ,579 ,5.97 
,钛矿石,15,1619,普通,曼德矿场投资70W,时价,159,1750,131,0.82 ,94,1716,97,1.03 ,417,2041,422 ,1.01 ,270,1830,211,0.78 ,350,1959,340,0.97 ,505,2202,583,1.15 ,109,1750,131,1.20 ,,,,,97 ,1750 ,131 ,1.35 
,铁轨用特种钢材,24,1079,普通,曼德矿场投资10W,时价,159,1166,87,0.55 ,94,1112,33,0.35 ,417,1328,249 ,0.60 ,270,1219,140,0.52 ,350,1273,194,0.55 ,505,1436,357,0.71 ,109,1166,87,0.80 ,,,,,97 ,1166 ,87 ,0.90 
,曼德工具箱,27,880,特产,无条件,时价,159,1020,140,0.88 ,94,933,53,0.56 ,417,1285,405 ,0.97 ,270,1109,229,0.85 ,350,1197,317,0.91 ,505,1460,580,1.15 ,109,994,114,1.05 ,,,,,97 ,994 ,114 ,1.18 
,黄铜,30,619,普通,无条件,时价,159,657,38,0.24 ,94,638,19,0.20 ,417,694,75 ,0.18 ,270,675,56,0.21 ,350,694,75,0.21 ,505,750,131,0.26 ,109,638,19,0.17 ,,,,,97 ,638 ,19 ,0.20 
,钢筋混凝土轨枕,36,539,普通,无条件,时价,159,583,44,0.28 ,94,555,16,0.17 ,417,664,125 ,0.30 ,270,610,71,0.26 ,350,637,98,0.28 ,505,718,179,0.35 ,109,583,44,0.40 ,,,,,97 ,583 ,44 ,0.45 
,建材,30,450,普通,无条件,时价,159,524,74,0.47 ,94,463,13,0.14 ,417,521,71 ,0.17 ,270,500,50,0.19 ,350,504,54,0.15 ,505,572,122,0.24 ,109,482,32,0.29 ,,,,,97 ,467 ,17 ,0.18 
,铁矿石,36,350,普通,无条件,时价,159,361,11,0.07 ,94,361,11,0.12 ,417,392,42 ,0.10 ,270,370,20,0.07 ,350,392,42,0.12 ,505,423,73,0.14 ,109,360,10,0.09 ,,,,,,,,
,石材,45,179,普通,无条件,时价,159,188,9,0.06 ,94,179,0,0.00 ,417,216,37 ,0.09 ,270,202,23,0.09 ,350,207,28,0.08 ,505,234,55,0.11 ,109,188,9,0.08 ,,,,,97 ,189 ,10 ,0.10 
,砂石,72,29,普通,无条件,时价,159,28,-1,-0.01 ,94,30,1,0.01 ,417,35,6 ,0.01 ,270,33,4,0.01 ,350,35,6,0.02 ,505,39,10,0.02 ,109,32,3,0.03 ,,,,,97 ,32 ,3 ,0.03 
淘金乐园,沙金,11,2700,特产,曼德矿场投资40W,时价,256,2943,243,0.95 ,191,2943,243,1.27 ,514,3185,485 ,0.94 ,367,3024,324,0.88 ,447,2781,81,0.18 ,513,3428,728,1.42 ,206,2943,243,1.18 ,97,2861,161,1.66 ,,,,
,青金石,13,1920,特产,曼德矿场投资70W,时价,256,2170,250,0.98 ,191,2170,250,1.31 ,514,2458,538 ,1.05 ,367,2265,345,0.94 ,447,1978,58,0.13 ,513,2650,730,1.42 ,206,2170,250,1.21 ,97,2073,153,1.58 ,,,,
,玛瑙,17,1727,特产,无条件,时价,256,1952,225,0.88 ,191,1952,225,1.18 ,514,2212,485 ,0.94 ,367,2038,311,0.85 ,447,1780,53,0.12 ,513,2385,658,1.28 ,206,1953,226,1.10 ,97,1866,139,1.43 ,,,,
,漆黑矿渣,37,554,普通,无条件,时价,256,621,67,0.26 ,191,654,100,0.52 ,514,738,184 ,0.36 ,367,672,118,0.32 ,447,571,17,0.04 ,513,805,251,0.49 ,206,621,67,0.33 ,97,588,34,0.35 ,,,,
,铁矿石,41,333,普通,无条件,时价,256,361,28,0.11 ,191,361,28,0.15 ,514,392,59 ,0.11 ,367,370,37,0.10 ,447,392,59,0.13 ,513,423,90,0.18 ,206,360,27,0.13 ,,,,,,,,
,石英矿,47,232,普通,无条件,时价,256,266,34,0.13 ,191,273,41,0.21 ,514,321,89 ,0.17 ,367,288,56,0.15 ,447,233,1,0.00 ,513,347,115,0.22 ,206,266,34,0.17 ,97,249,17,0.18 ,,,,
,金箔,None,3000,制造,兑换,时价,256,3269,269,1.05 ,191,,,,514,3540,540 ,1.05 ,367,3360,360,0.98 ,447,,,,513,3810,810,1.58 ,206,3270,270,1.31 ,97,3180,180,1.86 ,,,,
,纯金线材,None,6300,制造,兑换,时价,256,6614,314,1.23 ,191,,,,514,7277,977 ,1.90 ,367,6961,661,1.80 ,447,,,,513,7592,1292,2.52 ,206,6614,314,1.52 ,97,6458,158,1.63 ,,,,
,镀金线材,None,,制造,兑换,,256,,0,0.00 ,191,,,,514,,0 ,0.00 ,367,,0,0.00 ,447,,,,513,,0,0.00 ,206,,0,0.00 ,97,,0,0.00 ,,,,
